x,y
-2.2151265,53.4656895
-2.2108906,53.4632987
-2.2073302,53.4612982
-2.2031119,53.4590114
-2.1989326,53.455652
-2.1949615,53.4526414
-2.1915207,53.4454151
-2.1790894,53.4298947
-2.1689921,53.4154415
-2.1618509,53.4086595
-2.1605651,53.4077147
-2.1746284,53.408509
-2.1747209,53.4085382
-2.1751691,53.4094746
-2.174568,53.4098322
-2.1736778,53.4096811
-2.257911,53.4650261
-2.2581974,53.4588129
-2.2583664,53.4551176
-2.2574473,53.4532804
-2.2575886,53.4506692
-2.2521623,53.4510611
-2.2520853,53.4499271
-2.2577031,53.4496588
-2.2571972,53.4486893
-2.2520169,53.4487951
-2.2519252,53.4474478
-2.2491005,53.4475041
-2.2518267,53.4461104
-2.2570503,53.4434034
-2.2517742,53.4453024
-2.248957,53.4453597
-2.2517171,53.4444741
-2.2516391,53.4433444
-2.2488095,53.4432217
-2.2503242,53.4432995
-2.2502695,53.4445009
-2.2489001,53.4445262
-2.2491825,53.4488627
-2.2570737,53.4237192
-2.2599901,53.4202188
-2.2588009,53.4213748
-2.2598844,53.420099
-2.257905,53.4381418
-2.2631817,53.4360216
-2.2651418,53.4344317
-2.2702809,53.4324883
-2.265927,53.4298554
-2.2619114,53.4278128
-2.2584278,53.4262284
-2.2616593,53.418058
-2.2665582,53.4115915
-2.2665598,53.4103787
-2.2668541,53.4091862
-2.2670786,53.4092433
-2.2565448,53.4125444
-2.2933456,53.4270648
-2.2930305,53.4272787
-2.2928955,53.427242
-2.2927987,53.4270826
-2.2931805,53.4269572
-2.2943475,53.4263587
-2.2945262,53.4261539
-2.2946917,53.4261427
-2.2949,53.4262273
-2.2949398,53.4263457
-2.2945735,53.4264946
-2.2185427,53.4578593
-2.2322785,53.4761333
-2.2318866,53.4762188
-2.23164,53.47572
-2.2231539,53.4735102
-2.2620076,53.5499271
-2.2619916,53.5500015
-2.2604196,53.5506571
-2.2603207,53.5506507
-2.2608107,53.5488967
-2.1398778,53.4571553
-2.1356329,53.4575315
-2.1365928,53.4555609
-2.2323614,53.4763065
-2.2228606,53.4757198
-2.2294023,53.4748939
-2.2293381,53.4744335
-2.2531676,53.4789269
-2.2515071,53.4750258
-2.2513776,53.475254
-2.2523645,53.4774617
-2.2517885,53.4786905
-2.2519616,53.4783162
-2.2437909,53.4739526
-2.2829285,53.4774597
-2.2829865,53.4768743
-2.2804812,53.478568
-2.2787199,53.478225
-2.2773689,53.4780964
-2.2650046,53.4760078
-2.2650897,53.4759135
-2.2621145,53.4756201
-2.2204812,53.4783387
-2.2199713,53.4782526
-2.2361849,53.4644569
-2.238716,53.4638459
-2.2392349,53.4636581
-2.2404982,53.4621951
-2.2482308,53.4628795
-2.251844,53.4620534
-2.2523054,53.4601613
-2.2524385,53.4551585
-2.2547647,53.4508786
-2.2546929,53.4498026
-2.2546342,53.4487339
-2.2371011,53.4651271
-2.2358416,53.4562202
-2.2357571,53.4580423
-2.2354314,53.4630762
-2.2366441,53.4818573
-2.2359492,53.4816635
-2.2345988,53.4819716
-2.2353199,53.4814645
-2.2346428,53.4812902
-2.2340642,53.481706
-2.2335188,53.4814434
-2.2343132,53.4828386
-2.2337445,53.482599
-2.2332143,53.4843104
-2.2321551,53.4837574
-2.231602,53.4834788
-2.2310439,53.4832159
-2.230499,53.4829512
-2.2311269,53.4838092
-2.2321805,53.4843824
-2.2293526,53.4829192
-2.2299695,53.4826561
-2.2327409,53.4789744
-2.2381746,53.478761
-2.2376148,53.4791598
-2.2357335,53.4811744
-2.2406367,53.4778068
-2.2402552,53.4784885
-2.2423398,53.4775359
-2.2418994,53.4773087
-2.2431886,53.4779568
-2.2443963,53.4776051
-2.2423071,53.4795328
-2.2420083,53.4793758
-2.2393065,53.478015
-2.2413982,53.4782016
-2.2418158,53.4784092
-2.2411045,53.4799043
-2.2394331,53.4790656
-2.2390961,53.4788898
-2.2381446,53.4795856
-2.2393116,53.4801744
-2.2368664,53.4796852
